Student ID,Name,Age,Scholarship,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
S001,Sarah Jones,23,No,Single,Online,3,Law,Evening,Master,Foreign,None,Master,Unemployed,Self-employed,1,0,0,1,Male,0,34,1,7,1,5,0,16.54,0,1,6,5,2,11.21,2,8.72,0.84,44062.44
S002,Jane Davis,36,Yes,Single,Referral,1,Arts,Evening,Master,Local,None,High School,Unemployed,Unemployed,0,0,0,1,Male,0,18,1,1,5,7,6,19.18,3,6,9,2,4,9.62,4,3.53,3.26,48345.65
S003,David Smith,31,No,Single,Referral,5,Law,Daytime,High School,Foreign,Master,High School,Unemployed,Employed,0,1,1,1,Female,0,34,1,9,6,2,1,6.85,4,7,2,6,0,17.7,1,13.23,5.6,6408.6
S004,Sarah Williams,27,Yes,Single,In-person,1,Medicine,Evening,High School,Local,None,Master,Employed,Unemployed,0,0,0,1,Male,0,31,0,7,5,8,4,4.55,0,0,5,1,0,10.61,0,3.43,1.16,37907.15
S005,Michael Brown,24,No,Divorced,In-person,3,Law,Daytime,Bachelor,Foreign,Master,None,Unemployed,Employed,1,1,0,0,Female,1,35,1,2,6,2,7,8.47,0,8,3,3,9,8.82,3,6.95,3.77,45928.6
S006,Jane Wilson,37,Yes,Single,Online,2,Law,Daytime,High School,Local,Master,Master,Self-employed,Self-employed,0,1,1,1,Male,1,18,0,6,6,4,7,5.76,4,6,4,5,8,8.09,3,14.18,0.09,43581.2
S007,Anna Williams,23,No,Single,Referral,4,Arts,Evening,Bachelor,Foreign,Master,None,Unemployed,Employed,1,0,0,1,Female,0,36,1,2,7,1,2,12.3,2,2,6,4,6,11.45,2,11.82,8.19,48403.42
S008,Anna Williams,35,Yes,Single,Referral,3,Arts,Daytime,High School,Local,None,None,Unemployed,Employed,0,0,1,1,Female,0,22,0,6,4,5,6,18.24,1,7,8,3,0,16.08,3,6.38,1.28,39204.23
S009,Michael Jones,39,Yes,Divorced,Referral,1,Engineering,Evening,Bachelor,Foreign,Bachelor,None,Self-employed,Employed,0,1,0,1,Male,1,17,0,1,8,9,2,2.78,3,6,1,5,7,10.77,4,6.03,2.83,24903.44
S010,John Miller,27,No,Single,Online,4,Engineering,Daytime,Master,Foreign,Master,Master,Unemployed,Employed,1,1,1,1,Male,1,31,0,9,7,1,5,2.02,1,7,8,8,2,13.23,4,3.06,0.18,19037.84
